"Key","Item Type","Publication Year","Author","title","Publication Title","ISBN","ISSN","DOI","Url","abstract","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B5FA4FU5","journalArticle","2022","Mafie, GK","The Impact of Climate Change on Agricultural Productivity in Tanzania","INTERNATIONAL ECONOMIC JOURNAL","","1016-8737","10.1080/10168737.2021.2010229","","This paper investigates the impact of climate change on agricultural productivity in Tanzania focusing on maize and paddy as the staple food crops. We use Tanzania National Panel Survey (NPS) data for 2008/9, 2010/11, and 2012/13. The results suggest a significant impact of weather variables - temperature and rainfall, and their shocks on agricultural productivity in Tanzania. Also, farmers' education appears to reduce the impact of temperature shocks on productivity. These findings imply a need for policy intervention to ensure that farmers are equipped for climate change adaptation as well as the use of modern farming technologies and inputs.","2022-01-02","2023-09-26 16:12:45","2023-09-26 16:12:45","","129-145","","1","36","","","","","","","","","","English","","","","WOS:000728473500001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1<br/>Total Times Cited:&nbsp;&nbsp;1<br/>Cited Reference Count:&nbsp;&nbsp;60</p>","","","ADAPTATION; AFRICA; Agriculture; climate change; CROP YIELDS; ECONOMIC-GROWTH; FLUCTUATIONS; OLS; RAINFALL; Tanzania; TEMPERATURE; TRENDS; VARIABILITY; yield; YIELD RESPONSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2JJRBZA","journalArticle","2022","Bejagam, V; Keesara, VR; Sridhar, V","Impacts of climate change on water provisional services in Tungabhadra basin using InVEST Model","RIVER RESEARCH AND APPLICATIONS","","1535-1459","10.1002/rra.3891","","Water is one of the most important ecosystem services because it is essential for food and energy production. The Tungabhadra basin, located in peninsular India, has a variety of challenges, including inter-basin water-sharing issues, low agricultural productivity and value, and rising need for renewable energy production. The Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) water yield model is used to analyze the consequences of climate change on water related services such as water yield and hydropower generation in the densely populated Tungabhadra basin. The impact of climate change on water supply services is studied for the period 1971-2000 as well as the future period 2021-2040. The model is calibrated using streamflow data collected at the Bawapuram gauge station in Telangana and there is a strong correlation between observed and simulated flow. The water yield for the entire basin declined by 33 and 50% under the Representative Concentration Pathways (RCP) 4.5 and 8.5 scenarios, respectively. The RCP 4.5 scenario reduces hydropower production and its Net Present Value (NPV) by 41 to 59%, whereas the RCP 8.5 scenario reduces production and NPV by 56 to 67%. The assessment of ecosystem services at the catchment scale revealed that the basin could be vulnerable to climate change due to a dramatic drop in ecosystem services. The methodology developed in this study can be applied to other river basins where quantifying ecosystem services is critical.","2022-01","2023-09-26 16:12:45","2023-09-26 16:12:45","","94-106","","1","38","","","","","","","","","","English","","","","WOS:000715487600001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;9<br/>Total Times Cited:&nbsp;&nbsp;9<br/>Cited Reference Count:&nbsp;&nbsp;68</p>","","","climate change; RAINFALL; BALANCE MODEL; CLASSIFICATION; DATA SET; ecosystem services; ECOSYSTEM SERVICES; FOOD-ENERGY NEXUS; hydrology; hydropower; INDIA; RIVER-BASIN; SOIL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJLLIRW4","journalArticle","2021","Keller, L; Parth, S; Kubisch, S; Baumann, C; Wachsmann, G; Heufelder, A; Barkmann, R; Beck, I; Armbruster, S; Frisch, R","Making climate change visible. The project KlimaAlps","GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY","","0940-5550","10.14512/gaia.30.3.15","","","2021","2023-09-26 16:12:44","2023-09-26 16:12:44","","204-206","","3","30","","","","","","","","","","German","","","","WOS:000710526100014","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;10</p>","","","climate change education; making climate change visible; Sustainable Development Goal 13; Sustainable Development Goal 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQGYQ23H","journalArticle","2022","Thanh, NT","Understanding the water-related risks under climate conditions in Vietnam using CMIP6 models","INTERNATIONAL JOURNAL OF GLOBAL WARMING","","1758-2083","10.1504/IJGW.2022.125084","","Completely located in the tropics, water resources availability in Vietnam is plenty but not limitless, especially in associated with unexpected climate conditions. So, the study attempts to provide fully insight into water-related risks in present and near-future using an ensemble of CMIP6 models in combination with the methods of risk and GIS-based analysis on a provincial scale of Vietnam. The results show a dominant of floods and cyclone hazards, followed by droughts, landslides and seawater intrusion observed in present. Meanwhile, under climate change scenario of SSP3-7.0 in near-future (2021-2040), an expected decreasing in precipitation by -13.6% for provinces in the north of Vietnam is illustrated. Most importantly, in spring and summer, maximum temperature can increase faster than those in autumn, winter and annual. Dealing with water-related risks, it is expected that there are 6 out of 63 provinces at very high risk level.","2022","2023-09-26 16:12:44","2023-09-26 16:12:44","","96-112","","1","28","","","","","","","","","","English","","","","WOS:000844654600006","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;24</p>","","","climate change; CMIP6; DROUGHT; risk; Vietnam; water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4G532RS","journalArticle","2021","de Santiago, I; Camus, P; Gonzalez, M; Liria, P; Epelde, I; Chust, G; del Campo, A; Uriarte, A","Impact of climate change on beach erosion in the Basque Coast (NE Spain)","COASTAL ENGINEERING","","0378-3839","10.1016/j.coastaleng.2021.103916","","In the present study, we addressed the potential impact of climate change on coastal erosion along the 28 beaches of the Basque Coast (150 km). A shoreline evolution model including cross-shore and alongshore sediment transport formulations, short- and long-term processes and hard structure treatment is developed. The historical analysis of the shoreline evolution is performed by forcing the model with waves and storm surges from reanalysis data, and with tides from in situ water level measurements. The model is calibrated and validated by using morphological information derived from the KostaSystem coastal video monitoring system. The analysis of the future impact of climate change on the sandy beaches is carried out using two sea level projections (RCP 4.5 and RCP 8.5 scenarios) and their confidence intervals, combined with synthetic wave series that allowed a probabilistic fashion outcome. The results show that the shoreline mean erosion due to both short- and long-term processes is in the range of 10-45 m under the RCP 4.5 scenario and 14-66 m under RCP 8.5 by the year 2100, which indicate the great vulnerability of the beaches of the Basque Coast. Still, the response of the studied systems is highly variable, owing to the intrinsic characteristic of each site. This result points to the difficulty of taking general management measures and highlights the need for management strategies at the local level.","2021-08","2023-09-26 16:12:44","2023-09-26 16:12:44","","","","","167","","","","","","","","","","English","","","","WOS:000660290900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;94</p>","","","Beach erosion; Climate change; Climate change uncertainty; COMPLEXITY; Embayed beach; EUROPE; MODEL; MORPHODYNAMICS; Numerical model; Probabilistic shoreline changes; SCALE; SEA-LEVEL RISE; Sediment transport; SHORELINE CHANGE; Synthetic time series; WAVE CLIMATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVRNYPYY","journalArticle","2021","Kappes, PJ; Benkwitt, CE; Spatz, DR; Wolf, CA; Will, DJ; Holmes, ND","Do Invasive Mammal Eradications from Islands Support Climate Change Adaptation and Mitigation?","CLIMATE","","2225-1154","10.3390/cli9120172","","Climate change represents a planetary emergency that is exacerbating the loss of native biodiversity. In response, efforts promoting climate change adaptation strategies that improve ecosystem resilience and/or mitigate climate impacts are paramount. Invasive Alien Species are a key threat to islands globally, where strategies such as preventing establishment (biosecurity), and eradication, especially invasive mammals, have proven effective for reducing native biodiversity loss and can also advance ecosystem resilience and create refugia for native species at risk from climate change. Furthermore, there is growing evidence that successful eradications may also contribute to mitigating climate change. Given the cross-sector potential for eradications to reduce climate impacts alongside native biodiversity conservation, we sought to understand when conservation managers and funders explicitly sought to use or fund the eradication of invasive mammals from islands to achieve positive climate outcomes. To provide context, we first summarized available literature of the synergistic relationship between invasive species and climate change, including case studies where invasive mammal eradications served to meet climate adaptation or mitigation solutions. Second, we conducted a systematic review of the literature and eradication-related conference proceedings to identify when these synergistic effects of climate and invasive species were explicitly addressed through eradication practices. Third, we reviewed projects from four large funding entities known to support climate change solutions and/or native biodiversity conservation efforts and identified when eradications were funded in a climate change context. The combined results of our case study summary paired with systematic reviews found that, although eradicating invasive mammals from islands is an effective climate adaptation strategy, island eradications are poorly represented within the climate change adaptation and mitigation funding framework. We believe this is a lost opportunity and encourage eradication practitioners and funders of climate change adaptation to leverage this extremely effective nature-based tool into positive conservation and climate resilience solutions.","2021-12","2023-09-26 16:12:44","2023-09-26 16:12:44","","","","12","9","","","","","","","","","","English","","","","WOS:000743065600001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;4<br/>Total Times Cited:&nbsp;&nbsp;4<br/>Cited Reference Count:&nbsp;&nbsp;178</p>","","","SEA-LEVEL RISE; BIODIVERSITY; biosecurity; climate adaptation; climate change funding; climate change strategies; climate mitigation; climate resilience; conservation refugia; cross-sector funding; FOOD SECURITY; INTRODUCED RATS; invasive alien species; island eradication; nature-based solutions; PASSIVE RECOVERY; RAT ERADICATION; RODENT OUTBREAKS; SANTA-CRUZ ISLAND; SEABIRD RESTORATION; WATER-QUALITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERDPI8F9","journalArticle","2021","Van Doi, M; Kim, J","Addressing Climate Internal Variability on Future Intensity-Duration-Frequency Curves at Fine Scales across South Korea","WATER","","2073-4441","10.3390/w13202828","","Designing water infrastructure requires information about the magnitude and frequency of upcoming rainfall. A limited range of data offers just one of many realizations that occurred in the past or will occur in the future; thus, it cannot sufficiently explain climate internal variability (CIV). In this study, future relationships among rainfall intensity (RI), duration, and frequency (called the IDF curve) are established by addressing the CIV and tail characteristics with respect to frequency. Specifically, 100 ensembles of 30-year time series data were created to quantify that uncertainty. Then, the tail characteristics of future extreme rainfall events were investigated to determine whether they will remain similar to those in the present. From the RIs computed for control and future periods under two emission scenarios, following are the key results. Firstly, future RI will increase significantly for most locations, especially near the end of this century. Secondly, the spatial distributions and patterns indicate higher RI in coastal areas and lower RI for the central inland areas of South Korea, and those distributions are similar to those of the climatological mean (CM) and CIV. Thirdly, a straightforward way to reveal whether the tail characteristics of future extreme rainfall events are the same as those in the present is to inspect the slope value for the factor of change (FOC), mFOC. Fourthly, regionalizing with nearby values is very risky when investigating future changes in precipitation frequency estimates. Fifthly, the magnitude of uncertainty is large when the data length is short and gradually decreases as the data length increases for all return periods, but the uncertainty range becomes much greater as the return period becomes large. Lastly, inferring future changes in RI from the CM is feasible only for small return periods and at locations where mFOC is close to zero.","2021-10","2023-09-26 16:12:44","2023-09-26 16:12:44","","","","20","13","","","","","","","","","","English","","","","WOS:000716724200001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;5<br/>Total Times Cited:&nbsp;&nbsp;5<br/>Cited Reference Count:&nbsp;&nbsp;58</p>","","","climate change; MODEL; CHALLENGES; climate internal variability; EXTREMES; factor of change; FRAMEWORK; IDF curve; MULTIMODEL ENSEMBLE; PRECIPITATION; precipitation frequency estimates; QUANTIFICATION; RAINFALL IDF CURVES; SIMULATIONS; tail characteristics; UNCERTAINTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT6F5MXT","journalArticle","2021","Gbohoui, YP; Paturel, JE; Tazen, F; Mounirou, LA; Yonaba, R; Karambiri, H; Yacouba, H","Impacts of climate and environmental changes on water resources: A multi-scale study based on Nakanbe nested watersheds in West African Sahel","JOURNAL OF HYDROLOGY-REGIONAL STUDIES","","2214-5818","10.1016/j.ejrh.2021.100828","","Study region: Nakanbe River watershed in the West Africa Sahel (WAS). Study focus: This study aims to better understand the hydrological behavior of WAS watersheds, which experienced Sahelian hydrological paradoxes (SHP). Budyko framework was employed to evaluate the impact of climate change, environmental change and climate-environment interaction on surface runoff change in seven nested watersheds (38 - 21,178 km(2)) over the period 1965-2018. New hydrological insights for the region: Based on time-series stationarity statistical tests, the study period was divided into one baseline period (1965-1977) and three impacted periods (1978 1994, 1995 2006 and 2007 2018). Compared to the baseline period, the period 1978 1994 was characterized by a decrease in precipitation and an increase in runoff (first SHP). During the period 1995-2018, the runoff coefficient, which increased despite the observed regreening, was interpreted as evidence of the second SHP. The impact study showed that environmental change was the main driver of the first SHP (contribution reached +175 %), then climate-environment interaction became increasingly dominant during the second SHP (contribution reaching +68 %). The watersheds evolution in Budyko framework showed that the Fu Budyko-type model parameter appears to be a good indicator of soil water holding capacity spatio-temporal variability. Our results highlight the consequences of climate and environmental changes on surface runoff in the Sahelian context and might help in developing informed land management and restoration strategies to control runoff coefficients.","2021-06","2023-09-26 16:12:44","2023-09-26 16:12:44","","","","","35","","","","","","","","","","English","","","","WOS:000663478500007","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;14<br/>Total Times Cited:&nbsp;&nbsp;15<br/>Cited Reference Count:&nbsp;&nbsp;106</p>","","","RAINFALL; RIVER-BASIN; Climate change; Budyko framework; BURKINA-FASO; Climate-environment interaction; Environmental change; EVAPOTRANSPIRATION; LAND-USE; Nakanbe River watershed; RUNOFF; Sahelian hydrological paradox; SOIL-MOISTURE; STREAMFLOW; USE-EFFICIENCY; VEGETATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF58M8XD","journalArticle","2021","Zhong, Y; Liu, Q; Sapkota, L; Luo, YY; Wang, H; Liao, HJ; Wu, YH","Rapid glacier Shrinkage and Glacial Lake Expansion of a China-Nepal Transboundary Catchment in the Central Himalayas, between 1964 and 2020","REMOTE SENSING","","2072-4292","10.3390/rs13183614","","Climate warming and concomitant glacier recession in the High Mountain Asia (HMA) have led to widespread development and expansion of glacial lakes, which reserved the freshwater resource, but also may increase risks of glacial lake outburst floods (GLOFs) or debris floods. Using 46 moderate- and high-resolution satellite images, including declassified Keyhole and Landsat missions between 1964 and 2020, we provide a comprehensive area mapping of glaciers and glacial lakes in the Tama Koshi (Rongxer) basin, a highly glacierized China-Nepal transnational catchment in the central Himalayas with high potential risks of glacier-related hazards. Results show that the 329.2 +/- 1.9 km(2) total area of 271 glaciers in the region has decreased by 26.2 +/- 3.2 km(2) in the past 56 years. During 2000-2016, remarkable ice mass loss caused the mean glacier surface elevation to decrease with a rate of -0.63 m a(-1), and the mean glacier surface velocity slowed by similar to 25% between 1999 and 2015. The total area of glacial lakes increased by 9.2 +/- 0.4 km(2) (similar to 180%) from 5.1 +/- 0.1 km(2) in 1964 to 14.4 +/- 0.3 km(2) in 2020, while ice-contacted proglacial lakes have a much higher expansion rate (similar to 204%). Large-scale glacial lakes are developed preferentially and experienced rapid expansion on the east side of the basin, suggesting that in addition to climate warming, the glacial geomorphological characters (aspect and slope) are also key controlling factors of the lake growing process. We hypothesize that lake expansion will continue in some cases until critical local topography (i.e., steepening icefall) is reached, but the lake number may not necessarily increase. Further monitoring should be focused on eight rapidly expanding proglacial lakes due to their high potential risks of failure and relatively high lake volumes.","2021-09","2023-09-26 16:12:44","2023-09-26 16:12:44","","","","18","13","","","","","","","","","","English","","","","WOS:000701480900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;72</p>","","","climate change; ASIA; central Himalaya; CLIMATE-CHANGE; glacial lake change; glacier change; GLOFs; HAZARD ASSESSMENT; INVENTORY; MOUNT EVEREST REGION; OUTBURST FLOODS; SNOW; Tama Koshi; TIBETAN PLATEAU; TSHO ROLPA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7F8NDSVB","journalArticle","2022","Nova, N; Athni, TS; Childs, ML; Mandle, L; Mordecai, EA","Global Change and Emerging Infectious Diseases","ANNUAL REVIEW OF RESOURCE ECONOMICS","","1941-1340","10.1146/annurev-resource-111820-024214","","Our world is undergoing rapid planetary changes driven by human activities, often mediated by economic incentives and resource management, affecting all life on Earth. Concurrently, many infectious diseases have recently emerged or spread into new populations. Mounting evidence suggests that global change-including climate change, land-use change, urbanization, and global movement of individuals, species, and goods-may be accelerating disease emergence by reshaping ecological systems in concert with socioeconomic factors. Here, we review insights, approaches, and mechanisms by which global change drives disease emergence from a disease ecology perspective. We aim to spur more interdisciplinary collaboration with economists and identification of more effective and sustainable interventions to prevent disease emergence. While almost all infectious diseases change in response to global change, the mechanisms and directions of these effects are system specific, requiring new, integrated approaches to disease control that recognize linkages between environmental and economic sustainability and human and planetary health.","2022","2023-09-26 16:12:44","2023-09-26 16:12:44","","333-354","","","14","","","","","","","","","","English","","","","WOS:000865583800015","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;150</p>","","","climate change; CLIMATE-CHANGE; AVIAN INFLUENZA; BORNE DISEASE; DENGUE EPIDEMICS; ECONOMIC-IMPACT; emerging infectious diseases; GEOGRAPHIC EXPANSION; global change; HANTAVIRUS INFECTION; HUMAN MOVEMENT; land-use change; MALARIA TRANSMISSION; spillover; urbanization; VIRUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
